Date,Open,Close,Volume
2025-03-21,583.425,596.25,25015864
2025-03-20,582.755,586.0,24336505
2025-03-19,584.28,584.06,20537498
2025-03-18,600.05,582.36,20297708
2025-03-17,607.46,604.9,15473909
2025-03-14,602.805,607.6,12364505
2025-03-13,620.245,590.64,16480324
2025-03-12,629.9,619.56,15746966
2025-03-11,595.055,605.71,17401469
2025-03-10,608.07,597.99,21395988
2025-03-07,625.37,625.66,21375671
2025-03-06,648.0,627.93,13446454
2025-03-05,641.0,656.47,13770026
2025-03-04,645.51,640.0,21495208
2025-03-03,673.675,655.05,10843763
2025-02-28,658.04,668.2,17534168
2025-02-27,682.45,658.24,12500013
2025-02-26,659.65,673.7,14488705
2025-02-25,665.972,657.5,20579662
2025-02-24,686.28,668.13,15676994
2025-02-21,696.58,683.55,15660355
2025-02-20,697.275,694.84,12587408
2025-02-19,704.095,703.77,17535480
2025-02-18,736.0,716.37,21938703
2025-02-14,726.14,736.67,16901249
2025-02-13,721.5197,728.56,12569064
2025-02-12,715.3,725.38,12016517
2025-02-11,713.32,719.8,12997959
2025-02-10,718.56,717.4,12904317
2025-02-07,716.795,714.52,16427067
2025-02-06,705.88,711.99,13080690
2025-02-05,703.55,704.87,17793766
2025-02-04,702.5,704.19,13826270
2025-02-03,675.91,697.46,21415739
2025-01-31,691.0,689.18,19331660
2025-01-30,696.82,687.0,29322898
2025-01-29,675.0,676.49,21377820
2025-01-28,666.0,674.33,20950107
2025-01-27,626.61,659.88,28399190
2025-01-24,636.4,647.49,19065329
2025-01-23,627.36,636.45,9910163
2025-01-22,623.3,623.5,12274011
2025-01-21,617.825,616.46,11674016
2025-01-17,624.05,612.77,17280600
2025-01-16,611.5,611.3,8355349
2025-01-15,610.21,617.12,15524302
2025-01-14,605.065,594.25,13597992
2025-01-13,607.1,608.33,10785031
2025-01-10,610.03,615.86,19256564
2025-01-08,613.395,610.72,10085846
2025-01-07,631.7,617.89,12071479
2025-01-06,611.825,630.2,14560754
2025-01-03,604.76,604.63,11436784
2025-01-02,589.72,599.24,12682269
2024-12-31,592.265,585.51,6019520
2024-12-30,588.75,591.24,7025864
2024-12-27,599.41,599.81,8084229
2024-12-26,605.48,603.35,6091239
2024-12-24,602.715,607.75,4726056
2024-12-23,589.6,599.85,10205750
2024-12-20,590.58,585.25,48989390
2024-12-19,610.39,595.57,14958082
2024-12-18,621.0,597.19,17075480
2024-12-17,626.17,619.44,12897842
2024-12-16,629.975,624.24,10885625
2024-12-13,627.22,620.35,8453349
2024-12-12,631.5,630.79,7474717
2024-12-11,623.37,632.68,10837228
2024-12-10,617.56,619.32,10938854
2024-12-09,623.925,613.57,11426015
2024-12-06,610.1,623.77,16935503
2024-12-05,617.075,608.93,8081212
2024-12-04,612.96,613.78,14697006
2024-12-03,595.0,613.65,14907164
2024-12-02,577.5,592.83,12522371
2024-11-29,569.0,574.32,7130519
2024-11-27,574.89,569.2,7200228
2024-11-26,566.0,573.54,10356550
2024-11-25,562.1,565.11,13599830
2024-11-22,563.55,559.14,9164004
2024-11-21,569.52,563.09,11154749
2024-11-20,562.93,565.52,9797339
2024-11-19,551.86,561.09,9522445
2024-11-18,557.04,554.4,14346715
2024-11-15,571.22,554.08,17712864
2024-11-14,577.0,577.16,11053743
2024-11-13,582.605,580.0,10757583
2024-11-12,588.545,584.82,16287724
2024-11-11,586.36,583.17,10209051
2024-11-08,591.54,589.34,9415699
2024-11-07,576.89,591.7,14653708
2024-11-06,562.75,572.05,18305429
2024-11-05,567.305,572.43,9775379
2024-11-04,564.1,560.68,12064601
2024-11-01,567.605,567.16,15303235
2024-10-31,585.0,567.58,26838395
2024-10-30,600.98,591.8,26864925
2024-10-29,580.145,593.28,13019092
2024-10-28,582.0,578.16,10925131
2024-10-25,573.935,573.25,11337874
2024-10-24,567.125,567.78,7184651
2024-10-23,579.97,563.69,14248419
2024-10-22,574.29,582.01,8544463
2024-10-21,576.03,575.16,8171879
2024-10-18,581.1,576.47,7694274
2024-10-17,583.33,576.93,8701158
2024-10-16,581.395,576.79,11268384
2024-10-15,590.16,586.27,9564236
2024-10-14,594.22,590.42,8251971
2024-10-11,584.83,589.95,8587051
2024-10-10,587.57,583.83,7740449
2024-10-09,593.99,590.51,9529707
2024-10-08,589.69,592.89,7857377
2024-10-07,598.22,584.78,12014198
2024-10-04,583.73,595.94,14199788
2024-10-03,570.15,582.77,11580980
2024-10-02,574.86,572.81,6524650
2024-10-01,577.98,576.47,15259274
2024-09-30,567.7,572.44,12807206
2024-09-27,570.1,567.36,9398367
2024-09-26,575.73,567.84,14400787
2024-09-25,564.05,568.31,16543350
2024-09-24,566.68,563.33,12992956
2024-09-23,569.5,564.41,12830669
2024-09-20,560.0,561.35,22066817
2024-09-19,550.0,559.1,15646951
2024-09-18,537.065,537.95,10323537
2024-09-17,537.6,536.315,11690779
2024-09-16,524.54,533.28,9527646
2024-09-13,520.34,524.62,10321422
2024-09-12,517.05,525.6,11993342
