Date,Open,Close,Volume
2025-03-21,161.205,163.99,36625764
2025-03-20,161.57,162.8,28138464
2025-03-19,161.76,163.89,34275582
2025-03-18,163.675,160.67,42074751
2025-03-17,165.03,164.29,31184335
2025-03-14,163.27,165.49,31995894
2025-03-13,166.035,162.76,31756214
2025-03-12,166.58,167.11,28372396
2025-03-11,164.91,164.04,39587414
2025-03-10,168.26,165.87,43377356
2025-03-07,171.26,173.86,27385813
2025-03-06,170.53,172.35,28301953
2025-03-05,170.52,173.02,30954922
2025-03-04,166.24,170.92,45387996
2025-03-03,171.925,167.01,40770451
2025-02-28,168.68,170.28,48130565
2025-02-27,173.99,168.5,39991015
2025-02-26,175.07,172.73,35431268
2025-02-25,178.04,175.42,41913411
2025-02-24,181.99,179.25,29854206
2025-02-21,185.15,179.66,35199239
2025-02-20,184.8,184.56,20441462
2025-02-19,184.07,185.27,19549396
2025-02-18,185.6,183.77,29916675
2025-02-14,185.055,185.23,20448437
2025-02-13,184.32,186.14,21402523
2025-02-12,183.22,183.61,22072559
2025-02-11,185.03,185.32,21239519
2025-02-10,187.35,186.47,23105649
2025-02-07,191.05,185.34,49314961
2025-02-06,189.5,191.6,29297442
2025-02-05,191.07,191.33,70461770
2025-02-04,203.39,206.38,43856425
2025-02-03,200.69,201.23,27838348
2025-01-31,202.0,204.02,32041952
2025-01-30,198.0,200.87,24354684
2025-01-29,195.555,195.41,18218256
2025-01-28,192.745,195.3,24157929
2025-01-27,192.41,191.81,41728893
2025-01-24,198.1,200.21,23877521
2025-01-23,198.14,197.98,26951357
2025-01-22,199.06,198.37,26200617
2025-01-21,199.07,198.05,29971292
2025-01-17,196.53,196.0,27735089
2025-01-16,194.14,192.91,17815432
2025-01-15,193.09,195.55,21775969
2025-01-14,191.24,189.66,17174854
2025-01-13,190.07,191.01,21823699
2025-01-10,194.295,192.04,26665206
2025-01-08,192.57,193.95,24864766
2025-01-07,197.11,195.49,26487244
2025-01-06,193.98,196.87,29563638
2025-01-03,191.37,191.79,18596159
2025-01-02,190.65,189.43,20370828
2024-12-31,191.075,189.3,17466919
2024-12-30,189.8,191.24,14264659
2024-12-27,194.95,192.76,18891362
2024-12-26,195.15,195.6,12057210
2024-12-24,194.84,196.11,10403259
2024-12-23,192.62,194.63,25675014
2024-12-20,185.78,191.41,63462934
2024-12-19,191.625,188.51,32265241
2024-12-18,195.22,188.4,34166074
2024-12-17,197.25,195.42,43504025
2024-12-16,192.87,196.66,44934901
2024-12-13,191.01,189.82,25143495
2024-12-12,195.0,191.96,34817486
2024-12-11,185.31,195.4,67894071
2024-12-10,182.845,185.17,54813022
2024-12-09,173.96,175.37,25389631
2024-12-06,172.03,174.71,21462393
2024-12-05,175.36,172.64,21356243
2024-12-04,171.145,174.37,31615137
2024-12-03,171.49,171.34,22248705
2024-12-02,168.765,171.49,23789084
2024-11-29,168.5,168.95,14257244
2024-11-27,169.0,169.23,19266511
2024-11-26,167.63,169.12,20486720
2024-11-25,166.09,167.65,33135263
2024-11-22,165.85,164.76,38604587
2024-11-21,173.9,167.63,59734379
2024-11-20,177.34,175.98,18997111
2024-11-19,173.72,178.12,23434925
2024-11-18,173.42,175.3,20206613
2024-11-15,173.73,172.49,32504649
2024-11-14,178.28,175.58,31007457
2024-11-13,180.46,178.88,23184003
2024-11-12,179.82,181.62,25134905
2024-11-11,178.58,180.35,17450354
2024-11-08,180.645,178.35,22006182
2024-11-07,177.41,180.75,25352939
2024-11-06,173.8,176.51,33695538
2024-11-05,169.43,169.74,18242050
2024-11-04,169.93,169.24,21492744
2024-11-01,170.07,171.29,31796477
2024-10-31,173.13,171.11,44768981
2024-10-30,180.68,174.46,68890787
2024-10-29,167.73,169.68,42169025
2024-10-28,168.75,166.72,32138641
2024-10-25,163.67,165.27,19828884
2024-10-24,162.83,162.72,22412527
2024-10-23,164.76,162.78,18280518
2024-10-22,162.98,165.14,16568121
2024-10-21,162.95,164.07,20946455
2024-10-18,163.19,163.42,19757661
2024-10-17,165.73,162.93,21453395
2024-10-16,164.53,165.16,16406030
2024-10-15,165.785,165.46,20247195
2024-10-14,163.64,164.96,19016141
2024-10-11,162.13,163.24,15344251
2024-10-10,160.87,162.08,14144068
2024-10-09,163.45,161.86,31181774
2024-10-08,163.94,164.38,23072733
2024-10-07,167.72,162.98,22463140
2024-10-04,168.06,167.06,19093724
2024-10-03,164.41,165.86,15073101
2024-10-02,166.42,165.86,17760179
2024-10-01,167.685,166.99,28338123
2024-09-30,163.32,165.85,20481303
2024-09-27,162.81,163.95,21101307
2024-09-26,163.64,162.73,20319336
2024-09-25,161.47,161.49,18869199
2024-09-24,163.03,162.29,23332147
2024-09-23,164.35,161.85,24150852
2024-09-20,163.5,163.59,40896438
2024-09-19,163.71,162.14,26587733
2024-09-18,159.86,159.81,23677315
2024-09-17,159.02,159.32,20715612
2024-09-16,157.31,158.06,18379775
2024-09-13,155.43,157.46,29591152
2024-09-12,153.8,154.69,29695048
2024-09-11,149.92,151.16,29607693
2024-09-10,150.45,148.66,31118765
2024-09-09,152.51,148.71,39260451
2024-09-06,157.3,150.92,37912130
2024-09-05,156.3,157.24,18688747
2024-09-04,156.655,156.45,19197458
2024-09-03,161.72,157.36,38945301
2024-08-30,162.615,163.38,22123811
2024-08-29,164.31,161.78,19699767
2024-08-28,165.035,162.85,16407444
2024-08-27,165.835,164.68,11821941
2024-08-26,166.38,166.16,14190417
2024-08-23,164.72,165.62,13955741
2024-08-22,167.26,163.8,22493275
2024-08-21,165.15,165.85,22901997
2024-08-20,166.9,167.18,18341533
2024-08-19,165.28,166.67,22416185
2024-08-16,161.47,162.96,24208647
2024-08-15,160.5,161.3,31524252
2024-08-14,162.4,160.37,40591126
2024-08-13,163.41,164.16,18551690
2024-08-12,164.35,162.29,15895286
2024-08-09,160.01,163.67,28602285
2024-08-08,160.51,162.03,25578839
2024-08-07,161.25,158.94,25138573
2024-08-06,159.33,158.29,49004561
2024-08-05,155.5,159.25,53630673
2024-08-02,166.44,166.66,29130102
2024-08-01,170.25,170.76,24531392
2024-07-31,173.24,171.54,25729090
2024-07-30,170.24,170.29,18959686
2024-07-29,168.83,169.53,20293822
2024-07-26,167.15,167.0,41336886
2024-07-25,172.52,167.28,44851973
2024-07-24,173.6,172.63,49585203
2024-07-23,182.05,181.79,36352714
2024-07-22,180.59,181.67,24100345
2024-07-19,178.88,177.66,18881885
2024-07-18,181.93,177.69,25315727
2024-07-17,182.965,181.02,20734071
2024-07-16,187.36,183.92,18290722
2024-07-15,184.92,186.53,16474043
2024-07-12,185.08,185.07,22898406
2024-07-11,189.845,185.57,25625784
2024-07-10,189.15,191.18,15952454
2024-07-09,190.31,188.98,15141312
2024-07-08,189.895,189.03,21035886
2024-07-05,185.855,190.6,20967450
2024-07-03,184.85,185.82,10242126
2024-07-02,182.05,185.24,17372485
2024-07-01,183.03,182.99,16006128
2024-06-28,184.32,182.15,29156644
